Monthly Mean Avg Temperature for FARGO HECTOR INTL AP, ND
Click column heading to sort ascending, click again to sort descending.

https://www.wunderground.com/history/monthly/us/nd/fargo/KFAR/date/2020-7


Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1942	10	13.5	33.8	47.7	52.0	62.6	68.8	68.4	54.2	47.1	27.5	7.9	44.0
1943	-1.3	10.2	17.6	43.9	51.3	63.7	73.0	69.6	55.9	48.5	29.6	19.8	40.2
1944	21.1	11.8	20.2	41.1	58.5	65.5	69.3	67.5	58.1	47.8	32.9	14.7	42.4
1945	10.9	13.6	35.1	39.2	48.4	60.3	68.6	68.3	56.2	44.5	26.0	6.9	39.8
1946	8.0	6.7	34.7	47.4	51.7	64.7	71.2	66.4	57.1	43.4	27.1	12.3	40.9
1947	16.1	9.3	24.7	39.5	50.1	61.4	71.5	73.9	57.7	53.2	22.2	10.3	40.8
1948	3.1	5.7	17.7	44.3	56.0	63.8	71.2	70.0	64.7	48.2	29.1	11.7	40.5
1949	3.6	2.4	22.1	46.8	57.7	65.6	71.3	72.6	56.8	46.0	34.1	10.4	40.8
1950	-7.0	5.8	20.7	33.5	51.2	65.5	67.9	65.5	60.4	47.5	22.3	6.7	36.7
1951	1.1	13.4	15.7	40.3	58.8	60.7	68.5	64.7	54.6	43.4	21.0	7.1	37.4
1952	1.4	16.5	20.4	48.0	56.0	67.3	69.7	67.9	62.4	41.8	30.8	18.6	41.7
1953	10.4	16.2	28.0	37.5	54.8	64.9	69.9	71.8	59.0	53.5	35.1	14.7	43.0
1954	-1.4	26.4	25.5	41.2	50.3	65.3	71.8	68.8	57.0	44.7	34.5	19.7	42.0
1955	9.5	5.8	16.8	50.8	60.7	65.4	74.5	72.5	58.4	47.7	18.8	5.4	40.5
1956	6.0	5.8	19.5	34.9	53.3	70.7	68.0	68.5	55.7	51.7	30.5	16.6	40.1
1957	2.5	12.5	27.5	42.6	56.1	62.7	75.3	69.0	56.1	46.5	28.9	21.4	41.8
1958	17.4	12.3	30.9	45.2	58.1	59.7	67.3	68.9	59.9	48.7	29.7	10.5	42.4
1959	3.7	9.4	30.9	43.2	55.1	68.1	72.2	72.4	58.8	40.7	20.5	25.9	41.7
1960	8.0	11.3	15.5	41.2	56.5	63.3	71.4	70.6	59.9	47.5	29.9	9.9	40.4
1961	6.8	18.7	34.5	37.7	53.2	68.6	70.4	73.5	56.0	47.9	30.1	10.6	42.3
1962	4.4	5.6	22.7	39.9	56.6	66.2	68.8	71.5	57.6	51.0	35.0	16.6	41.3
1963	2.0	10.0	29.0	43.5	54.3	68.8	73.6	70.3	62.2	57.2	34.7	8.5	42.8
1964	15.5	18.9	20.8	46.3	61.0	67.2	74.0	64.8	55.4	45.2	29.2	3.8	41.8
1965	-1.2	7.1	13.7	41.6	54.4	63.9	68.5	66.5	48.9	47.3	26.0	19.2	38.0
1966	-6.4	6.1	29.7	37.2	51.4	66.1	73.8	65.5	58.2	44.0	23.1	11.8	38.4
1967	9.3	3.7	26.8	38.3	49.7	62.6	67.9	66.7	60.8	44.0	29.0	15.1	39.5
1968	7.7	9.9	34.0	43.9	52.9	64.1	69.6	68.1	59.3	46.7	31.0	8.9	41.3
1969	-1.5	12.8	15.2	45.4	54.8	57.3	68.3	72.4	59.0	40.3	30.5	15.6	39.2
1970	0.6	10.8	18.6	39.1	51.7	67.8	71.8	69.7	59.7	46.8	27.8	9.3	39.5
1971	-0.7	12.6	27.6	44.5	54.1	67.4	65.0	68.3	58.5	47.4	29.6	12.2	40.5
1972	2.7	4.1	23.9	40.9	59.7	66.9	68.3	70.5	56.9	42.4	28.5	3.8	39.1
1973	10.3	16.3	36.0	41.4	54.2	64.7	68.2	71.7	54.8	50.2	25.1	10.1	41.9
1974	1.7	9.6	22.9	42.2	51.1	64.4	73.6	64.3	53.3	47.5	29.2	20.8	40.1
1975	12.3	10.1	18.4	35.9	56.6	65.2	74.2	68.1	55.3	49.4	31.1	14.8	40.9
1976	7.7	21.3	22.9	47.0	55.7	68.5	71.7	73.6	60.0	39.5	23.2	6.9	41.5
1977	-3.3	17.4	32.0	49.5	66.5	66.5	72.2	62.5	57.9	47.1	25.6	6.5	41.7
1978	-1.4	3.4	23.5	42.5	59.1	64.7	69.5	69.1	63.6	46.4	22.7	7.3	39.2
1979	-4.2	-1.4	20.4	36.0	50.4	65.4	71.9	67.3	62.0	42.6	24.5	20.7	38.0
1980	6.6	8.2	20.7	49.0	61.4	65.7	71.8	67.5	56.9	42.3	33.0	12.7	41.3
1981	11.8	19.5	33.5	45.6	55.4	62.8	71.1	69.5	57.4	44.5	35.4	8.7	42.9
1982	-7.0	8.8	22.9	40.7	58.0	59.1	70.9	68.4	57.4	45.7	24.1	20.9	39.2
1983	16.0	21.7	29.8	40.2	52.1	66.0	73.5	72.9	56.6	44.4	31.2	-0.3	42.0
1984	9.6	24.9	23.4	45.6	54.2	65.7	70.6	73.3	54.3	47.4	29.7	9.6	42.4
1985	5.1	10.9	32.8	46.6	60.2	60.0	68.9	64.5	53.9	44.6	15.4	3.9	38.9
1986	13.7	10.4	31.6	43.9	57.5	67.5	71.5	65.5	56.1	45.3	23.1	20.8	42.2
1987	18.1	27.5	31.4	51.5	61.7	69.1	74.0	66.7	59.6	42.5	33.4	20.6	46.3
1988	5.9	9.2	29.5	44.5	63.9	73.8	75.8	72.1	58.5	42.9	27.5	15.2	43.2
1989	11.3	1.7	20.0	42.2	58.2	64.1	75.8	70.8	58.5	45.8	24.0	4.2	39.7
1990	21.7	17.5	31.4	43.6	55.0	66.9	70.0	71.1	62.2	45.6	32.1	12.2	44.1
