Arctic Sea Ice Extent
https://nsidc.org/arcticseaicenews/sea-ice-tools/

	min	max
1979	7.051	16.342
1980	7.667	16.041
1981	7.138	15.632
1982	7.302	16.044
1983	7.395	16.085
1984	6.805	15.584
1985	6.698	15.886
1986	7.411	15.91
1987	7.279	16.05
1988	7.369	15.957
1989	7.008	15.495
1990	6.143	15.867
1991	6.473	15.416
1992	7.474	15.481
1993	6.397	15.813
1994	7.138	15.562
1995	6.08	15.26
1996	7.583	15.155
1997	6.686	15.467
1998	6.536	15.746
1999	6.117	15.398
2000	6.246	15.225
2001	6.732	15.516
2002	5.827	15.349
2003	6.116	15.485
2004	5.984	14.993
2005	5.504	14.687
2006	5.862	14.421
2007	4.267	14.542
2008	4.687	15.179
2009	5.262	14.984
2010	4.865	15.137
2011	4.561	14.546
2012	3.566	15.196
2013	5.208	15.032
2014	5.22	14.758
2015	4.616	14.401
2016	4.505	14.405
2017	4.797	14.273
2018    4.594   14.475
2019    4.198   14.574
2020    3.842   14.972
2021    4.724   14.767
2022    4.674   14.838
2023    4.230   14.616
2024    4.280   14.952
2025    4.602   14.308
