Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu
Hourly Observation Table for April 1 2023 to April 30 2023
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available
Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Hour,Avg Sol Rad,Avg Sol Rad Flag
,deg,deg,ft,,,,CST,Lys,
Fargo,46.90027,-96.83234,902,2023,04,01,100,0.000,
Fargo,46.90027,-96.83234,902,2023,04,01,200,0.000,
Fargo,46.90027,-96.83234,902,2023,04,01,300,0.000,
Fargo,46.90027,-96.83234,902,2023,04,01,400,0.000,
Fargo,46.90027,-96.83234,902,2023,04,01,500,0.000,
Fargo,46.90027,-96.83234,902,2023,04,01,600,0.000,
Fargo,46.90027,-96.83234,902,2023,04,01,700,4.611,
Fargo,46.90027,-96.83234,902,2023,04,01,800,18.848,
Fargo,46.90027,-96.83234,902,2023,04,01,900,34.119,
Fargo,46.90027,-96.83234,902,2023,04,01,1000,47.670,
Fargo,46.90027,-96.83234,902,2023,04,01,1100,58.745,
Fargo,46.90027,-96.83234,902,2023,04,01,1200,66.372,
Fargo,46.90027,-96.83234,902,2023,04,01,1300,68.711,
Fargo,46.90027,-96.83234,902,2023,04,01,1400,66.406,
Fargo,46.90027,-96.83234,902,2023,04,01,1500,59.115,
Fargo,46.90027,-96.83234,902,2023,04,01,1600,48.040,
Fargo,46.90027,-96.83234,902,2023,04,01,1700,30.568,
Fargo,46.90027,-96.83234,902,2023,04,01,1800,19.957,
Fargo,46.90027,-96.83234,902,2023,04,01,1900,4.969,
Fargo,46.90027,-96.83234,902,2023,04,01,2000,0.000,
Fargo,46.90027,-96.83234,902,2023,04,01,2100,0.000,
Fargo,46.90027,-96.83234,902,2023,04,01,2200,0.000,
Fargo,46.90027,-96.83234,902,2023,04,01,2300,0.000,
Fargo,46.90027,-96.83234,902,2023,04,01,2400,0.000,
Fargo,46.90027,-96.83234,902,2023,04,02,100,0.000,
Fargo,46.90027,-96.83234,902,2023,04,02,200,0.000,
Fargo,46.90027,-96.83234,902,2023,04,02,300,0.000,
Fargo,46.90027,-96.83234,902,2023,04,02,400,0.000,
Fargo,46.90027,-96.83234,902,2023,04,02,500,0.000,
Fargo,46.90027,-96.83234,902,2023,04,02,600,0.000,
Fargo,46.90027,-96.83234,902,2023,04,02,700,1.164,
Fargo,46.90027,-96.83234,902,2023,04,02,800,18.040,
Fargo,46.90027,-96.83234,902,2023,04,02,900,33.852,
Fargo,46.90027,-96.83234,902,2023,04,02,1000,48.306,
Fargo,46.90027,-96.83234,902,2023,04,02,1100,47.060,
Fargo,46.90027,-96.83234,902,2023,04,02,1200,49.588,
Fargo,46.90027,-96.83234,902,2023,04,02,1300,49.201,
Fargo,46.90027,-96.83234,902,2023,04,02,1400,66.303,
Fargo,46.90027,-96.83234,902,2023,04,02,1500,59.355,
Fargo,46.90027,-96.83234,902,2023,04,02,1600,48.306,
Fargo,46.90027,-96.83234,902,2023,04,02,1700,34.497,
Fargo,46.90027,-96.83234,902,2023,04,02,1800,19.845,
Fargo,46.90027,-96.83234,902,2023,04,02,1900,5.820,
Fargo,46.90027,-96.83234,902,2023,04,02,2000,0.000,
Fargo,46.90027,-96.83234,902,2023,04,02,2100,0.000,
Fargo,46.90027,-96.83234,902,2023,04,02,2200,0.000,
Fargo,46.90027,-96.83234,902,2023,04,02,2300,0.000,
Fargo,46.90027,-96.83234,902,2023,04,02,2400,0.000,
Fargo,46.90027,-96.83234,902,2023,04,03,100,0.000,
Fargo,46.90027,-96.83234,902,2023,04,03,200,0.000,
Fargo,46.90027,-96.83234,902,2023,04,03,300,0.000,
Fargo,46.90027,-96.83234,902,2023,04,03,400,0.000,
Fargo,46.90027,-96.83234,902,2023,04,03,500,0.000,
Fargo,46.90027,-96.83234,902,2023,04,03,600,0.000,
Fargo,46.90027,-96.83234,902,2023,04,03,700,0.667,
Fargo,46.90027,-96.83234,902,2023,04,03,800,6.067,
Fargo,46.90027,-96.83234,902,2023,04,03,900,8.022,
Fargo,46.90027,-96.83234,902,2023,04,03,1000,9.931,
